x/H y/H N U/Uc V/Uc W/Uc
2.02E+00 4.28E-01 249 -9.54E-02 4.33E-02 -2.01E-02
2.02E+00 4.53E-01 253 -8.47E-02 5.03E-02 -2.55E-02
2.02E+00 4.77E-01 221 -8.02E-02 5.12E-02 -2.06E-02
2.02E+00 5.02E-01 226 -4.92E-02 4.52E-02 -1.87E-02
2.02E+00 5.26E-01 182 -5.87E-02 4.39E-02 -2.28E-02
2.02E+00 5.51E-01 238 -5.22E-02 3.52E-02 -9.63E-03
2.02E+00 5.74E-01 213 -3.79E-02 3.39E-02 -2.91E-02
2.02E+00 6.00E-01 206 -2.61E-02 2.85E-02 -2.53E-02
2.02E+00 6.22E-01 192 1.22E-02 3.52E-02 -1.01E-02
2.02E+00 6.48E-01 194 8.24E-03 3.33E-02 -1.74E-02
2.02E+00 6.73E-01 196 3.97E-02 3.34E-02 -2.60E-02
2.02E+00 6.97E-01 244 6.07E-02 2.81E-02 -1.98E-02
2.02E+00 7.21E-01 214 7.33E-02 3.33E-02 -1.47E-02
2.02E+00 7.46E-01 197 6.98E-02 2.22E-02 -2.80E-02
2.02E+00 7.70E-01 211 1.23E-01 9.58E-03 -3.44E-02
2.02E+00 7.95E-01 221 1.47E-01 3.49E-03 -5.41E-03
2.02E+00 8.18E-01 206 1.61E-01 1.69E-02 -1.75E-02
2.02E+00 8.44E-01 186 2.16E-01 -9.88E-03 -4.38E-03
2.02E+00 8.68E-01 225 2.23E-01 -4.12E-03 -1.83E-02
2.02E+00 8.93E-01 243 2.53E-01 -5.50E-03 -3.31E-02
2.02E+00 9.17E-01 194 3.11E-01 4.77E-03 -1.17E-02
2.02E+00 9.43E-01 204 3.53E-01 -1.15E-02 -1.60E-02
2.02E+00 9.66E-01 206 4.09E-01 -1.90E-02 -2.58E-02
2.02E+00 9.91E-01 210 4.52E-01 -8.51E-03 -2.31E-02
2.02E+00 1.01E+00 225 5.00E-01 -3.66E-02 -1.51E-02
2.02E+00 1.04E+00 200 5.43E-01 -1.71E-02 -4.97E-02
2.02E+00 1.06E+00 240 5.47E-01 -2.69E-02 -9.57E-03
2.02E+00 1.09E+00 295 6.51E-01 -5.11E-02 -1.27E-02
2.02E+00 1.11E+00 269 6.73E-01 -4.63E-02 -2.24E-02
2.02E+00 1.14E+00 328 7.08E-01 -3.64E-02 -1.03E-02
2.02E+00 1.16E+00 336 7.37E-01 -3.64E-02 -1.79E-02
2.02E+00 1.19E+00 329 7.67E-01 -3.02E-02 -2.11E-02
2.02E+00 1.21E+00 376 7.88E-01 -3.01E-02 -1.98E-02
2.02E+00 1.23E+00 440 8.09E-01 -2.46E-02 -9.60E-03
2.02E+00 1.26E+00 439 8.31E-01 -2.09E-02 -1.96E-02
2.02E+00 1.28E+00 439 8.50E-01 -2.30E-02 -1.50E-02
2.02E+00 1.31E+00 545 8.56E-01 -2.36E-02 -1.32E-02
2.02E+00 1.33E+00 506 8.67E-01 -1.94E-02 -1.43E-02
2.02E+00 1.36E+00 526 8.77E-01 -1.05E-02 -1.33E-02
2.02E+00 1.38E+00 524 8.90E-01 -1.72E-02 -1.66E-02
2.02E+00 1.41E+00 494 8.97E-01 -1.51E-02 -1.84E-02
2.02E+00 1.43E+00 533 9.01E-01 -1.32E-02 -1.26E-02
2.02E+00 1.46E+00 542 9.12E-01 -1.42E-02 -1.96E-02
2.02E+00 1.48E+00 525 9.16E-01 -1.20E-02 -1.43E-02
2.02E+00 1.50E+00 563 9.26E-01 -1.19E-02 -1.62E-02
2.02E+00 1.53E+00 566 9.25E-01 -1.34E-02 -1.99E-02
2.02E+00 1.55E+00 562 9.34E-01 -1.06E-02 -1.59E-02
2.02E+00 1.58E+00 580 9.44E-01 -1.03E-02 -1.78E-02
2.02E+00 1.60E+00 604 9.44E-01 -1.10E-02 -2.15E-02
2.02E+00 1.63E+00 581 9.49E-01 -1.33E-02 -1.52E-02
2.02E+00 1.65E+00 604 9.60E-01 -1.37E-02 -1.58E-02
2.02E+00 1.67E+00 586 9.60E-01 -1.40E-02 -1.78E-02
2.02E+00 1.70E+00 595 9.63E-01 -1.31E-02 -1.90E-02
2.02E+00 1.72E+00 598 9.69E-01 -1.21E-02 -2.03E-02
2.02E+00 1.75E+00 577 9.78E-01 -1.27E-02 -1.90E-02
2.02E+00 1.77E+00 673 9.74E-01 -9.12E-03 -1.87E-02
2.02E+00 1.80E+00 645 9.80E-01 -9.96E-03 -1.82E-02
2.02E+00 1.82E+00 628 9.84E-01 -1.13E-02 -1.93E-02
2.02E+00 1.85E+00 630 9.85E-01 -1.25E-02 -1.84E-02
2.02E+00 1.87E+00 643 9.88E-01 -1.14E-02 -1.98E-02
2.02E+00 1.90E+00 636 9.86E-01 -1.10E-02 -1.92E-02
2.02E+00 1.92E+00 642 9.90E-01 -9.04E-03 -1.91E-02
2.02E+00 1.94E+00 652 9.91E-01 -1.07E-02 -1.72E-02
2.02E+00 1.97E+00 652 9.90E-01 -9.40E-03 -1.96E-02
2.02E+00 1.99E+00 668 9.91E-01 -1.17E-02 -1.75E-02
2.02E+00 2.02E+00 725 9.89E-01 -1.23E-02 -2.12E-02
2.02E+00 2.04E+00 673 9.91E-01 -9.54E-03 -1.96E-02
2.02E+00 2.07E+00 663 9.86E-01 -1.07E-02 -1.84E-02
2.02E+00 2.09E+00 641 9.82E-01 -1.04E-02 -1.81E-02
2.02E+00 2.11E+00 623 9.82E-01 -1.24E-02 -1.65E-02
2.02E+00 2.14E+00 644 9.79E-01 -9.11E-03 -1.96E-02
2.02E+00 2.16E+00 607 9.75E-01 -1.17E-02 -2.05E-02
2.02E+00 2.19E+00 601 9.72E-01 -8.72E-03 -1.60E-02
2.02E+00 2.21E+00 610 9.66E-01 -1.06E-02 -1.93E-02
2.02E+00 2.24E+00 594 9.59E-01 -8.19E-03 -1.80E-02
2.02E+00 2.26E+00 549 9.58E-01 -1.02E-02 -2.00E-02
2.02E+00 2.29E+00 545 9.52E-01 -8.27E-03 -1.96E-02
2.02E+00 2.31E+00 549 9.48E-01 -7.03E-03 -1.77E-02
2.02E+00 2.34E+00 564 9.43E-01 -8.49E-03 -2.20E-02
2.02E+00 2.36E+00 526 9.36E-01 -5.51E-03 -1.99E-02
2.02E+00 2.38E+00 499 9.27E-01 -1.05E-02 -1.76E-02
2.02E+00 2.41E+00 506 9.20E-01 -5.84E-03 -1.91E-02
2.02E+00 2.43E+00 493 9.16E-01 -1.06E-02 -2.03E-02
2.02E+00 2.46E+00 447 9.09E-01 -6.66E-03 -1.47E-02
2.02E+00 2.48E+00 423 8.98E-01 -6.89E-03 -1.78E-02
2.02E+00 2.51E+00 447 8.93E-01 -4.18E-03 -1.59E-02
2.02E+00 2.53E+00 431 8.79E-01 -1.27E-02 -1.67E-02
2.02E+00 2.55E+00 433 8.71E-01 -7.21E-03 -1.72E-02
2.02E+00 2.58E+00 463 8.60E-01 -7.48E-03 -1.52E-02
2.02E+00 2.60E+00 453 8.55E-01 -6.22E-03 -2.09E-02
2.02E+00 2.63E+00 448 8.56E-01 -5.60E-03 -1.46E-02
2.02E+00 2.65E+00 468 8.41E-01 -3.72E-03 -1.58E-02
2.02E+00 2.68E+00 478 8.28E-01 -6.53E-03 -2.04E-02
2.02E+00 2.70E+00 462 8.13E-01 -8.49E-03 -1.65E-02
